directory,metadata,sample_number,fastq_filename,fastq,sample,date,origin_O2,O2,week,replicate,type
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_1_LOW4_[LakWasMeta1_LOW4]/Raw_Data/8776.4.111692.CGATGT.fastq.gz,1_LOW4,1,8776.4.111692.CGATGT.fastq.gz,8776.4.111692.CGATGT,mg1L_4,May-27-2014,low,low,4,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_7_HOW4_[LakWasMeta7_HOW4]/Raw_Data/8776.4.111692.GCCAAT.fastq.gz,7_HOW4,7,8776.4.111692.GCCAAT.fastq.gz,8776.4.111692.GCCAAT,mg7H_4,May-27-2014,high,high,4,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_2_LOW4_[LakWasMeta2_LOW4]/Raw_Data/8776.4.111692.TTAGGC.fastq.gz,2_LOW4,2,8776.4.111692.TTAGGC.fastq.gz,8776.4.111692.TTAGGC,mg2L_4,May-27-2014,low,low,4,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_8_HOW4_[LakWasMeta8_HOW4]/Raw_Data/8776.4.111692.CAGATC.fastq.gz,8_HOW4,8,8776.4.111692.CAGATC.fastq.gz,8776.4.111692.CAGATC,mg8H_4,May-27-2014,high,high,4,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_3_LOW4_[LakWasMeta3_LOW4]/Raw_Data/8776.4.111692.TGACCA.fastq.gz,3_LOW4,3,8776.4.111692.TGACCA.fastq.gz,8776.4.111692.TGACCA,mg3L_4,May-27-2014,low,low,4,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_9_HOW4_[LakWasMeta9_HOW4]/Raw_Data/8776.4.111692.GATCAG.fastq.gz,9_HOW4,9,8776.4.111692.GATCAG.fastq.gz,8776.4.111692.GATCAG,mg9H_4,May-27-2014,high,high,4,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_10_HOW4_[LakWasMet10_HOW4]/Raw_Data/8776.4.111692.TAGCTT.fastq.gz,10_HOW4,10,8776.4.111692.TAGCTT.fastq.gz,8776.4.111692.TAGCTT,mg10H_4,May-27-2014,high,high,4,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_4_LOW4_[LakWasMeta4_LOW4]/Raw_Data/8776.4.111692.ACAGTG.fastq.gz,4_LOW4,4,8776.4.111692.ACAGTG.fastq.gz,8776.4.111692.ACAGTG,mg4L_4,May-27-2014,low,low,4,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_13_LOW5_[LakWasMet13_LOW5]/Raw_Data/8776.4.111692.GGCTAC.fastq.gz,13_LOW5,13,8776.4.111692.GGCTAC.fastq.gz,8776.4.111692.GGCTAC,mg13L_5,June-3-2014,low,low,5,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_19_HOW5_[LakWasMet19_HOW5]/Raw_Data/8776.5.111705.ATGTCA.fastq.gz,19_HOW5,19,8776.5.111705.ATGTCA.fastq.gz,8776.5.111705.ATGTCA,mg19H_5,June-3-2014,high,high,5,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_14_LOW5_[LakWasMet14_LOW5]/Raw_Data/8776.4.111692.CTTGTA.fastq.gz,14_LOW5,14,8776.4.111692.CTTGTA.fastq.gz,8776.4.111692.CTTGTA,mg14L_5,June-3-2014,low,low,5,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_20_HOW5_[LakWasMet20_HOW5]/Raw_Data/8776.5.111705.CCGTCC.fastq.gz,20_HOW5,20,8776.5.111705.CCGTCC.fastq.gz,8776.5.111705.CCGTCC,mg20H_5,June-3-2014,high,high,5,2,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_15_LOW5_[LakWasMet15_LOW5]/Raw_Data/8776.4.111692.AGTCAA.fastq.gz,15_LOW5,15,8776.4.111692.AGTCAA.fastq.gz,8776.4.111692.AGTCAA,mg15L_5,June-3-2014,low,low,5,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_21_HOW5_[LakWasMet21_HOW5]/Raw_Data/8776.5.111705.GTAGAG.fastq.gz,21_HOW5,21,8776.5.111705.GTAGAG.fastq.gz,8776.5.111705.GTAGAG,mg21H_5,June-3-2014,high,high,5,3,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_16_LOW5_[LakWasMet16_LOW5]/Raw_Data/8776.4.111692.AGTTCC.fastq.gz,16_LOW5,16,8776.4.111692.AGTTCC.fastq.gz,8776.4.111692.AGTTCC,mg16L_5,June-3-2014,low,low,5,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_22_HOW5_[LakWasMet22_HOW5]/Raw_Data/8776.5.111705.GTCCGC.fastq.gz,22_HOW5,22,8776.5.111705.GTCCGC.fastq.gz,8776.5.111705.GTCCGC,mg22H_5,June-3-2014,high,high,5,4,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_25_LOW6_[LakWasMet25_LOW6]/Raw_Data/8776.5.111705.GTGAAA.fastq.gz,25_LOW6,25,8776.5.111705.GTGAAA.fastq.gz,8776.5.111705.GTGAAA,mg25L_6,June-10-2014,low,low,6,1,Metagenome
Methane_oxidation_as_a_community_function__defining_partnerships_and_strategies_through_sequencing_metagenomes_and_metatranscriptomes_of_laboratory_manipulated_microcosms__Lake_Washington_sediment_Metagenome_31_HOW6_[LakWasMet31_HOW6]/Raw_Data/8776.5.111705.GAGTGG.fastq.gz,31_HOW6,31,8776.5.111705.GAGTGG.fastq.gz,8776.5.111705.GAGTGG,mg31H_6,June-10-2014,high,high,6,1,Metagenome
